Run_Name,Ratio,Time_File,Wavelength_File,Time_MSE,Wavelength_MSE,Region_AUC_Error,Tau_Avg_Error,Combined_Score,FL,ISC,coupling,CTenergy,model
Run_FL16_ISC3_coupling_150_CTenergy_14580_model_12,Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.004082241540170355,0.002642621971714907,0.15791897869501398,0.20529389549919141,0.2733563392151594,16,3.0,150,14580,12
Run_FL16_ISC2.5_coupling_250_CTenergy_14580_model_12,Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.008733756869836865,0.0025797060241109352,0.11930768988912954,0.3144803000156465,0.27531729380906433,16,2.5,250,14580,12
Run_FL16_ISC3_coupling_30_CTenergy_14580_model_12,Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.022750595881523752,0.0025560592482762753,0.02154671101631348,0.489526844578464,0.27799070628379124,16,3.0,30,14580,12
Run_FL16_ISC2.7_coupling_50_CTenergy_14580_model_12,Monomer_50pct_CT_50pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_50pct_CT_50pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_50pct_CT_50pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.012945449386526402,0.0025890403937283563,0.09300778279919018,0.40612643155119366,0.27985934510939037,16,2.7,50,14580,12
Run_FL16_ISC2.8_coupling_150_CTenergy_14580_model_12,Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.005605321041979315,0.002642675777303731,0.15961998858445212,0.25063061124618585,0.28387020521704887,16,2.8,150,14580,12
Run_FL16_ISC2.5_coupling_40_CTenergy_14580_model_12,Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.021702538311443437,0.0025647568909670693,0.040186651475769775,0.49864198106774343,0.28539168755397737,16,2.5,40,14580,12
Run_FL16_ISC2.7_coupling_150_CTenergy_14580_model_12,Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.00655820255108038,0.002642692702388464,0.16054194723555257,0.27365371184844295,0.2899718499607432,16,2.7,150,14580,12
Run_FL16_ISC2_coupling_60_CTenergy_14580_model_12,Monomer_50pct_CT_50pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_50pct_CT_50pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_50pct_CT_50pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.025794012104201826,0.0025411181042555714,0.022257841081917785,0.5371083920079089,0.29070923258241943,16,2.0,60,14580,12
Run_FL16_ISC2.8_coupling_30_CTenergy_14580_model_12,Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.02558686534297654,0.002555266986498016,0.024326985079867875,0.5192966364668264,0.29141838329159975,16,2.8,30,14580,12
Run_FL16_ISC2_coupling_180_CTenergy_14580_model_12,Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.017629619654474942,0.0026170366124371736,0.08159356518346024,0.43936395554683005,0.2945371064641582,16,2.0,180,14580,12
