Run_Name,Ratio,Time_File,Wavelength_File,Time_MSE,Wavelength_MSE,Region_AUC_Error,Tau_Avg_Error,Combined_Score,FL,ISC,RP,coupling,energy
Run_FL16_ISC3_RP2_coupling_50_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.08407393965161365,0.005439705762896096,2.953890765282406,0.8386340357416799,5.535190291853906,16,3,2.0,50,14580
Run_FL16_ISC3_RP3_coupling_50_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.07633491022851065,0.005636907424515524,3.056921361471412,0.8065733315147537,5.569747784382192,16,3,3.0,50,14580
Run_FL16_ISC5_RP2_coupling_50_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.07609784053044193,0.005695533616740299,3.0443645255331533,0.8046220277900268,5.579921098136161,16,5,2.0,50,14580
Run_FL16_ISC5_RP3_coupling_50_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.06481281800945027,0.006258495610746816,3.244154886547583,0.7490528828866845,5.675430396020444,16,5,3.0,50,14580
Run_FL16_ISC3_RP0.2_coupling_150_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.12041281168756857,0.006853624649414324,4.32092849862465,0.9427901923687841,5.77250574250237,16,3,0.2,150,14580
Run_FL16_ISC3_RP0.4_coupling_100_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.10904540352507339,0.0071169025609808655,4.073287947794139,0.915957680425231,5.8143083359414,16,3,0.4,100,14580
Run_FL16_ISC5_RP0.4_coupling_100_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.1071145824932461,0.007337696014651754,4.1437566730635504,0.910707143207154,5.848866115194394,16,5,0.4,100,14580
Run_FL16_ISC5_RP0.2_coupling_150_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.11974882374380794,0.007766513056814496,4.497121328832469,0.9411012487570681,5.9147608393106745,16,5,0.2,150,14580
Run_FL16_ISC3_RP0.6_coupling_100_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.098650637367742,0.008342816094216162,4.528663567772642,0.8871702266561072,6.000972920741063,16,3,0.6,100,14580
Run_FL16_ISC5_RP0.6_coupling_100_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.09532889622228717,0.008613830148064756,4.600000974183766,0.8770763900234186,6.04065659163226,16,5,0.6,100,14580
