Run_Name,Ratio,Time_File,Wavelength_File,Time_MSE,Wavelength_MSE,Region_AUC_Error,Tau_Avg_Error,Combined_Score,FL,ISC,RP,CT,energy
Run_FL16_ISC5_RP0.2_coupling_CT_40_RP1_100_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,0.00010454440668457974,0.0027595619940289024,0.4130487488834651,0.0013483311736709595,0.13921686951472786,16,5,1,40,14580
Run_FL16_ISC5_RP1_coupling_CT_40_RP1_250_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,0.00012506027835802744,0.002693966549644485,0.27887505537876606,0.0011336138681098005,0.13926896384299692,16,5,1,40,14580
Run_FL16_ISC5_RP0.4_coupling_CT_40_RP1_80_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,0.00010039769117010225,0.002754911144011752,0.405191910305451,0.0015128812583276618,0.13928852490643195,16,5,1,40,14580
Run_FL16_ISC5_RP3_coupling_CT_80_RP1_250_CT_energy_14580,Monomer_70pct_CT_10pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_70pct_CT_10pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_10pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,0.0020752068726681006,0.0025977781323606995,0.005807771451193819,0.08068757445918144,0.139390157699125,16,5,1,80,14580
Run_FL16_ISC5_RP0.8_coupling_CT_200_RP1_40_CT_energy_14580,Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,0.00010152336933839357,0.0025562072838118846,0.8275904831507148,0.0021468662919672267,0.13942216877843605,16,5,1,200,14580
Run_FL16_ISC5_RP3_coupling_CT_40_RP1_60_CT_energy_14580,Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,0.0001727693430921229,0.0027320473165866515,0.3657348421503016,0.0005401350346842581,0.13980753809255028,16,5,1,40,14580
Run_FL16_ISC5_RP0.6_coupling_CT_40_RP1_150_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,8.69778023732981e-05,0.002732526672394323,0.3646138034254997,0.0023149847954452877,0.13981762463984954,16,5,1,40,14580
Run_FL16_ISC5_RP1_coupling_CT_200_RP1_40_CT_energy_14580,Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,8.773770231448679e-05,0.0026534784486382103,0.16000261285720693,0.022511271289551056,0.1398188024443349,16,5,1,200,14580
Run_FL16_ISC5_RP0.8_coupling_CT_40_RP1_200_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,0.0001036779235799468,0.00271317036338073,0.32382771178272624,0.002193120127147599,0.14008725418028317,16,5,1,40,14580
Run_FL16_ISC5_RP0.6_coupling_CT_200_RP1_60_CT_energy_14580,Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,7.037204843639533e-05,0.002558508842966239,0.8388708659466123,0.0035423588026327986,0.14024335127174578,16,5,1,200,14580
Run_FL16_ISC5_RP2_coupling_CT_200_RP1_20_CT_energy_14580,Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,0.00013283994143375083,0.0026639501265169,0.1880413896290751,0.007853111958627776,0.14028300644077737,16,5,1,200,14580
