# Wavelength (nm), Normalized Intensity
6.869570537014819820e+02,5.230889479529997610e-01
6.863279762213552431e+02,5.586224387742033670e-01
6.857000498362203871e+02,5.961625116059797724e-01
6.850732713895300776e+02,6.355116540966883054e-01
6.844476377362675521e+02,6.766164364037764445e-01
6.838231457428947806e+02,7.191397721442971402e-01
6.831997922872988056e+02,7.630541552046721243e-01
6.825775742587408104e+02,8.077237053781135545e-01
6.819564885578037092e+02,8.516249336925215685e-01
6.813365320963412159e+02,8.932114298361724103e-01
6.807177017974264572e+02,9.297559262696031279e-01
6.800999945953004726e+02,9.591878395176149930e-01
6.794834074353226470e+02,9.807324539150762410e-01
6.788679372739196651e+02,9.944162785878378763e-01
6.782535810785357171e+02,1.000000000000000000e+00
6.776403358275822484e+02,9.971057668345713054e-01
6.770281985103890747e+02,9.859550696053869245e-01
6.764171661271547009e+02,9.678967795648957262e-01
6.758072356888974355e+02,9.437434805253184233e-01
6.751984042174063916e+02,9.135024703988255945e-01
6.745906687451935113e+02,8.785250877922210488e-01
6.739840263154451350e+02,8.396742018544934849e-01
6.733784739819736842e+02,7.977095001308639466e-01
6.727740088091704820e+02,7.535520331174675457e-01
6.721706278719582315e+02,7.080646964156147583e-01
6.715683282557433813e+02,6.620352485878445714e-01
6.709671070563699686e+02,6.163466784894701123e-01
6.703669613800719844e+02,5.714686039849711241e-01
6.697678883434281261e+02,5.273261288301026584e-01
6.691698850733141626e+02,4.845679501811104850e-01
6.685729487068585968e+02,4.434430373373939305e-01
6.679770763913957126e+02,4.039119590347520217e-01
6.673822652844206686e+02,3.661793647136228347e-01
6.667885125535441375e+02,3.303032541042156822e-01
6.661958153764478539e+02,2.963333848517299418e-01
6.656041709408391398e+02,2.643818012642156212e-01
6.650135764444066808e+02,2.342827866476394627e-01
6.644240290947767562e+02,2.064099935080079551e-01
6.638355261094685602e+02,1.810093599910073681e-01
6.632480647158506599e+02,1.579778464487669176e-01
6.626616421510977943e+02,1.373690397752389269e-01
6.620762556621471049e+02,1.191763506448430543e-01
6.614919025056551618e+02,1.032579594146323249e-01
6.609085799479553316e+02,8.942399392122069024e-02
6.603262852650148034e+02,7.747357153109772632e-02
6.597450157423926385e+02,6.721143401103886472e-02
6.591647686751970241e+02,5.843029340563435370e-02
6.585855413680437778e+02,5.094794267746348415e-02
6.580073311350143968e+02,4.458502616151539810e-02
6.574301352996146761e+02,3.917988599461096066e-02
6.568539511947332130e+02,3.458873925399136989e-02
6.562787761626004794e+02,3.068605988032522061e-02
6.557046075547481223e+02,2.736377838986515931e-02
6.551314427319676952e+02,2.452982197500845618e-02
6.545592790642708678e+02,2.210634464841135585e-02
6.539881139308492948e+02,2.002788435954151736e-02
6.534179447200336881e+02,1.823959322048678347e-02
6.528487688292549365e+02,1.669562025491092006e-02
6.522805836650039737e+02,1.535768107062126207e-02
6.517133866427930116e+02,1.419382078326813720e-02
6.511471751871151810e+02,1.317736051303549163e-02
6.505819467314070152e+02,1.228600978789372647e-02
6.500176987180085462e+02,1.150112419656077085e-02
6.494544285981252187e+02,1.080708754877953044e-02
6.488921338317893515e+02,1.019079925079446197e-02
6.483308118878221649e+02,9.641249741118049915e-03
6.477704602437956964e+02,9.149169159034626145e-03
6.472110763859946019e+02,8.706736665854353935e-03
6.466526578093793205e+02,8.307339876345062879e-03
6.460952020175484449e+02,7.945375636401751790e-03
6.455387065227007497e+02,7.616084899226743810e-03
6.449831688455994936e+02,7.315415725045717500e-03
6.444285865155344482e+02,7.039909487147032359e-03
6.438749570702860865e+02,6.786606240550079570e-03
6.433222780560885212e+02,6.552965928193143011e-03
6.427705470275936932e+02,6.336802689393649692e-03
6.422197615478352191e+02,6.136230019063041406e-03
6.416699191881921251e+02,5.949614922781113445e-03
6.411210175283538319e+02,5.775539538146863550e-03
6.405730541562841154e+02,5.612768959826938166e-03
6.400260266681859775e+02,5.460224225058657108e-03
6.394799326684664038e+02,5.316959596718421645e-03
6.389347697697014610e+02,5.182143429516733978e-03
6.383905355926015091e+02,5.055042027196932249e-03
6.378472277659765268e+02,4.935005999498659306e-03
6.373048439267016647e+02,4.821458710936759803e-03
6.367633817196832524e+02,4.713886482275523801e-03
6.362228387978244655e+02,4.611830262511278263e-03
6.356832128219909919e+02,4.514878536311589703e-03
6.351445014609784039e+02,4.422661270918197204e-03
6.346067023914774836e+02,4.334844738915607544e-03
6.340698132980412538e+02,4.251127080158415873e-03
6.335338318730521223e+02,4.171234488493063067e-03
6.329987558166881172e+02,4.094917927489302376e-03
6.324645828368904859e+02,4.021950294860994826e-03
6.319313106493306123e+02,3.952123968139509627e-03
6.313989369773779572e+02,3.885248674906153100e-03
6.308674595520672028e+02,3.821149639857464569e-03
6.303368761120661929e+02,3.759665968469907277e-03
6.298071844036436460e+02,3.700649233296979691e-03
6.292783821806378910e+02,3.643962234179101613e-03
6.287504672044242398e+02,3.589477908044584609e-03
6.282234372438840637e+02,3.537078367671122638e-03
6.276972900753729618e+02,3.486654051878287312e-03
6.271720234826898377e+02,3.438102972230237461e-03
6.266476352570455219e+02,3.391330043525350117e-03
6.261241231970317358e+02,3.346246487202983455e-03
6.256014851085906230e+02,3.302769298362908702e-03
6.250797188049839406e+02,3.260820768417421484e-03
6.245588221067622499e+02,3.220328056517649667e-03
6.240387928417352441e+02,3.181222803847501193e-03
6.235196288449408257e+02,3.143440785687464691e-03
6.230013279586154340e+02,3.106921596838983952e-03
6.224838880321644865e+02,3.071608366587133456e-03
