# Wavelength (nm), Normalized Intensity
6.782535810785357171e+02,6.209455332784189485e-01
6.776403358275822484e+02,6.688374529489479192e-01
6.770281985103890747e+02,7.145401016700153596e-01
6.764171661271547009e+02,7.580047987510118990e-01
6.758072356888974355e+02,7.989671105053717248e-01
6.751984042174063916e+02,8.363111181204206934e-01
6.745906687451935113e+02,8.702364919345332295e-01
6.739840263154451350e+02,9.005750960920263504e-01
6.733784739819736842e+02,9.268893554703199200e-01
6.727740088091704820e+02,9.491722382195250107e-01
6.721706278719582315e+02,9.672861348494745659e-01
6.715683282557433813e+02,9.812687278141747349e-01
6.709671070563699686e+02,9.915422787064941401e-01
6.703669613800719844e+02,9.980812907384417620e-01
6.697678883434281261e+02,1.000000000000000000e+00
6.691698850733141626e+02,9.979937969752604721e-01
6.685729487068585968e+02,9.916639098342771019e-01
6.679770763913957126e+02,9.808022411784803607e-01
6.673822652844206686e+02,9.655312603305260533e-01
6.667885125535441375e+02,9.457423253094784377e-01
6.661958153764478539e+02,9.216213138220822332e-01
6.656041709408391398e+02,8.935108454344642404e-01
6.650135764444066808e+02,8.609975997732036701e-01
6.644240290947767562e+02,8.254635671138846886e-01
6.638355261094685602e+02,7.881286474190436486e-01
6.632480647158506599e+02,7.492955104281571188e-01
6.626616421510977943e+02,7.099711974651263802e-01
6.620762556621471049e+02,6.709703929587810256e-01
6.614919025056551618e+02,6.328162895941928934e-01
6.609085799479553316e+02,5.957925479081659370e-01
6.603262852650148034e+02,5.600840263823071430e-01
6.597450157423926385e+02,5.260292851063727015e-01
6.591647686751970241e+02,4.937662409897262683e-01
6.585855413680437778e+02,4.634035471778424897e-01
6.580073311350143968e+02,4.347273930034203371e-01
6.574301352996146761e+02,4.079015018038837925e-01
6.568539511947332130e+02,3.827764669270609654e-01
6.562787761626004794e+02,3.593442428892357210e-01
6.557046075547481223e+02,3.374811204498674999e-01
6.551314427319676952e+02,3.171073809042709302e-01
6.545592790642708678e+02,2.981194335555811259e-01
6.539881139308492948e+02,2.804731455001570617e-01
6.534179447200336881e+02,2.640914416018158573e-01
6.528487688292549365e+02,2.488134876221457514e-01
6.522805836650039737e+02,2.346132841102047395e-01
6.517133866427930116e+02,2.214216158337292961e-01
6.511471751871151810e+02,2.092042445285006713e-01
6.505819467314070152e+02,1.979179197710639326e-01
6.500176987180085462e+02,1.875732157588523297e-01
6.494544285981252187e+02,1.780908812197218583e-01
6.488921338317893515e+02,1.694900577658348395e-01
6.483308118878221649e+02,1.617150305919175801e-01
6.477704602437956964e+02,1.547374925785610922e-01
6.472110763859946019e+02,1.484889866804912917e-01
6.466526578093793205e+02,1.429388638199748651e-01
6.460952020175484449e+02,1.380374093497975241e-01
6.455387065227007497e+02,1.336809049186825638e-01
6.449831688455994936e+02,1.298242139809993312e-01
6.444285865155344482e+02,1.263686407985852300e-01
6.438749570702860865e+02,1.232373326024583104e-01
6.433222780560885212e+02,1.203234755705325232e-01
6.427705470275936932e+02,1.176027860393804858e-01
6.422197615478352191e+02,1.150152766788067465e-01
6.416699191881921251e+02,1.124810073226710505e-01
6.411210175283538319e+02,1.099551274831899322e-01
6.405730541562841154e+02,1.074040594363579043e-01
6.400260266681859775e+02,1.047742884763748772e-01
6.394799326684664038e+02,1.020624672231042751e-01
6.389347697697014610e+02,9.922084219502314006e-02
6.383905355926015091e+02,9.622959798273786336e-02
6.378472277659765268e+02,9.309257383986008216e-02
6.373048439267016647e+02,8.977625079127783680e-02
6.367633817196832524e+02,8.631984229303031608e-02
6.362228387978244655e+02,8.274097029398308489e-02
6.356832128219909919e+02,7.902500068510846798e-02
6.351445014609784039e+02,7.519907857311973476e-02
6.346067023914774836e+02,7.129979565417693399e-02
6.340698132980412538e+02,6.733369010997869442e-02
6.335338318730521223e+02,6.336663454635756143e-02
6.329987558166881172e+02,5.942560646908463806e-02
6.324645828368904859e+02,5.554344481597924682e-02
6.319313106493306123e+02,5.171738327481105457e-02
6.313989369773779572e+02,4.800446381144473501e-02
6.308674595520672028e+02,4.441190539288483730e-02
6.303368761120661929e+02,4.097201842295315061e-02
6.298071844036436460e+02,3.769141641555847494e-02
6.292783821806378910e+02,3.458614967387733247e-02
6.287504672044242398e+02,3.165018534700141106e-02
6.282234372438840637e+02,2.890263264499548165e-02
6.276972900753729618e+02,2.634433011410300743e-02
6.271720234826898377e+02,2.398108697022668587e-02
6.266476352570455219e+02,2.181001187958364965e-02
6.261241231970317358e+02,1.981993538593093337e-02
6.256014851085906230e+02,1.800949581798037130e-02
6.250797188049839406e+02,1.636939592323943121e-02
6.245588221067622499e+02,1.489219868149939743e-02
6.240387928417352441e+02,1.356521064353945205e-02
6.235196288449408257e+02,1.237794755137071670e-02
6.230013279586154340e+02,1.131897606208754833e-02
6.224838880321644865e+02,1.037634836971505249e-02
6.219673069221316837e+02,9.538718350393120618e-03
6.214515824921705871e+02,8.795162870026563412e-03
6.209367126130140377e+02,8.135475068846898319e-03
6.204226951624456206e+02,7.550274394577877364e-03
6.199095280252705606e+02,7.031048089152083097e-03
6.193972090932859373e+02,6.570144650193747785e-03
6.188857362652524898e+02,6.160735727215499273e-03
6.183751074468658544e+02,5.796759347931611760e-03
6.178653205507275743e+02,5.472853904271530665e-03
6.173563734963170191e+02,5.184289367604280260e-03
6.168482642099629629e+02,4.926899887441485090e-03
6.163409906248156176e+02,4.697020230891358651e-03
6.158345506808179834e+02,4.491427341705127828e-03
6.153289423246787919e+02,4.307287520087930109e-03
