Run_Name,Ratio,Time_File,Wavelength_File,Time_MSE,Wavelength_MSE,Region_AUC_Error,Tau_Avg_Error,Combined_Score,FL,ISC,coupling,energy,model
Run_FL16_ISC3_coupling_250_CT_energy_14580_model_2,Monomer_20pct_CT_80pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_20pct_CT_80pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_20pct_CT_80pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.020846463243358433,0.032730033643783955,10.525415988573947,0.4665498460836503,0.6451510129595008,16,3,250,14580,2
Run_FL16_ISC2_coupling_200_CT_energy_14580_model_2,Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.04482613654446064,0.02250116299838621,8.570217803853378,0.661883443888239,0.7359092129878406,16,2,200,14580,2
Run_FL16_ISC2_coupling_250_CT_energy_14580_model_2,Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.04001416741891942,0.03364659502380745,10.641104125688694,0.6354851002803165,0.801077032850573,16,2,250,14580,2
Run_FL16_ISC3_coupling_40_CT_energy_14580_model_2,Monomer_20pct_CT_80pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_20pct_CT_80pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_20pct_CT_80pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.07857140551527929,0.0019507165931997594,0.6071049639742946,0.7820113863495755,4.786370211607335,16,3,40,14580,2
Run_FL16_ISC3_coupling_20_CT_energy_14580_model_2,Monomer_20pct_CT_80pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_20pct_CT_80pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_20pct_CT_80pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.08598834471144327,0.0019863799320582174,0.32266587766142535,0.8122902782025676,4.796248664422134,16,3,20,14580,2
Run_FL16_ISC5_coupling_40_CT_energy_14580_model_2,Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.06440409621053002,0.0020158699941503046,0.6143680132720871,0.6416001693598758,4.804356408941289,16,5,40,14580,2
Run_FL16_ISC10_coupling_40_CT_energy_14580_model_2,Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.05264806026918306,0.0020346895004238375,0.6409384860647618,0.32175421581982094,4.809502330203646,16,10,40,14580,2
Run_FL16_ISC1_coupling_40_CT_energy_14580_model_2,Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.10850390013143589,0.002063957272811757,0.4204487052078761,0.9210380769971164,4.817462424818186,16,1,40,14580,2
Run_FL16_ISC5_coupling_20_CT_energy_14580_model_2,Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.07304954471337774,0.002070331833790372,0.3245245914466248,0.6903159068140533,4.8191893337511065,16,5,20,14580,2
Run_FL16_ISC10_coupling_20_CT_energy_14580_model_2,Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.061841876203601966,0.0020770846586573213,0.31630857643788224,0.4102893447773382,4.821016086737754,16,10,20,14580,2
Run_FL16_ISC1_coupling_20_CT_energy_14580_model_2,Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.11234039980094057,0.002146380765256591,0.3727565207880698,0.934912682478046,4.839608544242349,16,1,20,14580,2
Run_FL16_ISC2_coupling_40_CT_energy_14580_model_2,Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.08909812052505932,0.0022498198713654903,0.6401672004426169,0.8467837032382803,4.866863210987868,16,2,40,14580,2
Run_FL16_ISC2_coupling_20_CT_energy_14580_model_2,Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.09564025361339401,0.0022562146328797446,0.3100357318470586,0.8692451143857922,4.868529330545449,16,2,20,14580,2
Run_FL16_ISC1_coupling_60_CT_energy_14580_model_2,Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.10352354168897673,0.002616906250493519,1.4718053621226594,0.9066027461039913,4.959299015510469,16,1,60,14580,2
Run_FL16_ISC3_coupling_60_CT_energy_14580_model_2,Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.06904841945694026,0.0028166320397969733,1.832615977283075,0.7410290604994212,5.007140714316662,16,3,60,14580,2
